2N7001T	1-bit dual-supply buffered voltage signal converter	SOT-SC70,X2SON	5
2N7001T-Q1	Automotive 1-bit dual-supply buffered voltage signal translator	SOT-SC70	5
66AK2E05	High performance multicore DSP+Arm - 4x Arm A15 cores, 1x C66x DSP core, NetCP, 10GbE	FCBGA	1089
66AK2G12	High performance multicore DSP+Arm - 1x Arm A15 cores, 1x C66x DSP core	FCCSP	625
66AK2H06	High performance multicore DSP+Arm - 2x Arm A15 cores, 4x C66x DSP cores	FCBGA	1517
66AK2H12	High performance multicore DSP+Arm - 4x Arm A15 cores, 8x C66x DSP cores	FCBGA	1517
66AK2H14	High performance multicore DSP+Arm - 4x Arm A15 cores, 8x C66x DSP cores, 10GbE	FCBGA	1517
66AK2L06	Multicore DSP+ARM KeyStone II System-on-Chip (SoC)	FCBGA	900
74ACT11032	4-ch, 2-input, 4.5-V to 5.5-V 24-mA drive strength OR gate with TTL-compatible inputs	PDIP,SOIC	16
74ACT16244	16-ch, 4.5-V to 5.5-V buffers with TTL-compatible CMOS inputs and 3-state outputs	SSOP,TSSOP	48
74ACT16245	16-Bit Bus Transceivers With 3-State Outputs	SSOP,TSSOP	48
74ACT16373	16-Bit D-Type Transparent Latches With 3-State Outputs	SSOP	48
74ACT16374	16-Bit D-Type Edge-Triggered Flip-Flops With 3-State Outputs	SSOP	48
74SSTUB32868	28-bit to 56-bit registered buffer with address-parity test	NFBGA	176
74SSTUB32868A	28-bit to 56-bit registered buffer with address-parity test for heavily loaded DDR2 registered DIMMs	NFBGA	176
ADC07D1520	7-Bit, Dual 1.5-GSPS or Single 3.0-GSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC0802-N	8-Bit, 1-Ch µP Compatible A/D Converters with 0.5 LSB INL	SOIC	20
ADC0804-N	8-Bit, 1-Ch µP Compatible A/D Converters with 1 LSB INL	SOIC	20
ADC08060	8-Bit 60MSPS 1.3mW/MSPS Analog-to-Digital Converter (ADC) With Internal Sample and Hold	TSSOP	24
ADC08100	8-Bit 100MSPS 1.3mW/MSPS Analog-to-Digital Converter (ADC)	TSSOP	24
ADC081000	High Performance, Low Power 8-Bit, 1 GSPS A/D Converter	HLQFP	128
ADC081500	8-Bit, 1.5-GSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC081C021	8-Bit, 189kSPS, 1-Ch SAR ADC with I2C and Alert Pin	SOT-23-THN,VSSOP	6,8
ADC081C027	8-Bit, 189kSPS, 1-Ch SAR ADC with I2C	SOT-23-THN	6
ADC081S021	8-Bit, 200kSPS, 1-Ch SAR ADC with SPI	SOT-23,WSON	6
ADC081S051	8-Bit, 500kSPS, 1-Ch SAR ADC with SPI	SOT-23,WSON	6
ADC081S101	8-Bit, 1MSPS, 1-Ch SAR ADC	SOT-23,WSON	6
ADC0820-N	8-Bit High Speed µP Compatible A/D Converter with Track/Hold Function	SOIC	20
ADC08200	8-Bit 200MSPS Low-Power Analog-to-Digital Converter (ADC) With Internal Sample and Hold	TSSOP	24
ADC082S021	2 Channel, 50 ksps to 200 ksps, 8-Bit A/D Converter	VSSOP	8
ADC082S051	2 Channel, 200 ksps to 500 ksps, 8-Bit A/D Converter	VSSOP	8
ADC082S101	2 Channel, 500 ksps to 1 Msps, 8-Bit A/D Converter	VSSOP	8
ADC083000	8-Bit, 3.0-GSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08351	8-Bit, 42-MSPS Analog-to-Digital Converter (ADC)	TSSOP,WQFN	20,24
ADC084S021	4 Channel, 50 ksps to 200 Ksps, 8-Bit A/D Converter	VSSOP	10
ADC084S051	4 Channel, 200 ksps to 500 ksps, 8-Bit A/D Converter	VSSOP	10
ADC084S101	4 Channel, 500 ksps to 1 Msps, 8-Bit A/D Converter	VSSOP	10
ADC08500	8-Bit, 500-MSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08831	8-Bit, 1-Ch, Serial I/O CMOS A/D Converters with Multiplexer and Sample/Hold Function	SOIC	8
ADC08832	8-Bit, 2-Ch, Serial I/O CMOS A/D Converters with Multiplexer and Sample/Hold Function	SOIC,VSSOP	8
ADC088S022	8-Channel, 50 ksps to 200 ksps, 8-Bit A/D Converter	TSSOP	16
ADC088S052	8-Channel, 200 ksps to 500 ksps, 8-Bit A/D Converter	TSSOP	16
ADC088S102	8-Channel, 500 kSPS to 1 MSPS, 8-Bit A/D Converter	TSSOP	16
ADC08B200	8-Bit, 200-MSPS, Analog-to-Digital Converter (ADC) with 1K Buffer	TQFP	48
ADC08B200-Q1	8-Bit, 200-MSPS Analog-to-Digital Converter (ADC) - Qualified for Automotive Applications	TQFP	48
ADC08B3000	8-Bit, 3.0-GSPS Analog-to-Digital Converter (ADC) with 4K Buffer	HLQFP	128
ADC08D1000	8-Bit, Dual 1.0-GSPS or Single 2.0-GSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08D1020	8-Bit, Dual 1.0 GSPS or Single 2.0 GSPS, Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08D1500	8-Bit, Dual 1.5-GSPS or Single 3.0-GSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08D1520	8-Bit, Dual 1.5-GSPS or Single 3.0-GSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08D1520QML-SP	Radiation-hardness-assured (RHA), QMLV, 300-krad, ceramic, 8-bit, dual 1.5-GSPS or single 3-GSPS ADC	CFP	128
ADC08D500	8-Bit, Dual 500-MSPS or Single 1.0-GSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08D502	Dual-Channel, 8-Bit, 500-MSPS Analog-to-Digital Converter (ADC)	HLQFP	128
ADC08DJ3200	8-Bit, Dual 3.2-GSPS or Single 6.4-GSPS, RF-Sampling Analog-to-Digital Converter (ADC)	FCCSP	144
ADC08DJ5200RF	RF-sampling 8-bit ADC with dual-channel 5.2 GSPS or single-channel 10.4 GSPS	FCCSP	144
ADC08DL502	Dual-Channel, 8-Bit, 500-MSPS Analog-to-Digital Converter (ADC)	LQFP	144
ADC08L060	8-Bit, 60-MSPS, Ultra-Low Power Analog-to-Digital Converter (ADC)	TSSOP	24
ADC09DJ1300	Dual-channel, 9-bit, 1.3-GSPS analog-to-digital converter (ADC) with JESD204C interface	FCCSP	144
ADC09DJ1300-Q1	Automotive dual-channel, 9-bit, 1.3-GSPS analog-to-digital converter (ADC) with JESD204C interface	FCCSP	144
ADC09DJ800	Dual-channel, 9-bit, 800-MSPS analog-to-digital converter (ADC) with JESD204C interface	FCCSP	144
ADC09DJ800-Q1	Automotive dual-channel, 9-bit, 800-MSPS analog-to-digital converter (ADC) with JESD204C interface	FCCSP	144
ADC09QJ1300	Quad-channel, 9-bit, 1.3-GSPS analog-to-digital converter (ADC) with JESD204C interface	FCCSP	144
